tiempo;Costo;PrecioOfertaProm;NroTipoOfertas;Marca;CantOfertas;MaxDescuento%;minDescuento%;FactordeDescuentos;FlagCampana;TieneUbicacionEspecifica;UnidadesDemandas
10/03/2005;16.79;41.9;1;A;1;0.558666667;0;0;0;0;282
11/03/2005;48.21;15.9;1;B;1;0.467647059;0;0;0;0;2324
12/03/2005;53.62;39.9;1;B;1;0.613846154;0;0;0;0;2875
13/03/2005;13.82;119;1;A;1;0.7;0;0;0;0;191
14/03/2005;58.86;41.9;2;B;1;0.656962025;0.403797468;0.265279603;0;0;3465
15/03/2005;14.56;53.9;1;A;1;0.64939759;0;0;0;0;212
16/03/2005;30.64;21.9;1;A;1;0.644117647;0;0;0;0;939
17/03/2005;65.67;36.9;2;B;1;0.651388889;0.373611111;0.243366127;0;0;4312
18/03/2005;41.00;38.9;1;B;1;0.648333333;0;0;0;0;1681
19/03/2005;40.60;44.9;1;B;1;0.641428571;0;0;0;0;1648
20/03/2005;24.84;31.9;1;A;1;0.664583333;0;0;0;0;617
21/03/2005;46.24;44.9;1;B;1;0.598666667;0;0;0;0;2138
22/03/2005;25.4;49.9;1;A;1;0.712857143;0;0;0;0;645
23/03/2005;110.06;15.9;1;D;1;0.467647059;0;0;0;0;12113
24/03/2005;41.21;34.9;1;B;1;0.612280702;0;0;0;0;1698
25/03/2005;16.55;41.9;1;A;1;0.644615385;0;0;0;0;274
26/03/2005;47.6;14.9;1;B;1;0.532142857;0;0;0;0;2270
27/03/2005;122.41;29.9;2;D;1;0.636206897;0.394827586;0.251192033;0;0;14983
28/03/2005;60.80;24.4;2;B;1;0.636170213;0.40212766;0.255821639;0;0;3697
29/03/2005;99.43;59.9;1;C;1;0.499166667;0;0;0;0;9886
30/03/2005;5.39;111;1;A;1;0.702531646;0;0;0;0;29
31/03/2005;66.20;25.9;1;B;1;0.588636364;0;0;0;0;4383
02/04/2005;81.12;14.9;1;C;1;0.513793103;0;0;0;0;6581
03/04/2005;92.6;14.7;2;C;1;0.526470588;0.338235294;0.178070934;0;0;8569
04/04/2005;36.7;16.9;1;B;1;0.603571429;0;0;0;0;1346
05/04/2005;181.1;29.9;1;B;1;0.378481013;0;0;0;0;32781
06/04/2005;30.72;52.9;1;A;1;0.645121951;0;0;0;0;944
07/04/2005;119.86;38.4;2;D;1;0.593670886;0.378481013;0.224693158;0;0;14366
08/04/2005;6.63;119;1;A;1;0.7;0;0;0;0;44
09/04/2005;50.3;78;2;B;1;0.580813953;0.331337209;0.192445274;0;0;2527
10/04/2005;23.69;79.9;1;A;1;0.547260274;0;0;0;0;561
11/04/2005;28.60;89;1;A;1;0.5;0;0;0;0;818
12/04/2005;24.94;34.9;1;A;1;0.646296296;0;0;0;0;622
13/04/2005;34.04;84.9;1;B;1;0.581506849;0;0;0;0;1159
14/04/2005;75.01;89.94;2;C;1;0.685142857;0.342742857;0.23482782;0;0;5627
15/04/2005;62.27;34.9;1;B;0;0.425609756;0.425609756;0;1;0;3878
16/04/2005;11.4;119.9;1;A;1;0.685142857;0;0;0;0;131
17/04/2005;19.72;74;1;A;1;0.528571429;0;0;0;0;389
18/04/2005;39.41;89;1;B;1;0.508571429;0;0;0;0;1553
19/04/2005;17.03;22.9;1;A;1;0.636111111;0;0;0;0;290
20/04/2005;106.33;34.9;1;D;1;0.465333333;0;0;0;0;11306
21/04/2005;212.9;36;2;C;1;0.598666667;0.352666667;0.211129778;0;0;45314
22/04/2005;20.98;46.9;1;A;1;0.651388889;0;0;0;0;440
23/04/2005;49.49;54.9;1;B;1;0.669512195;0;0;0;0;2449
24/04/2005;80.43;32.9;1;C;1;0.548333333;0;0;0;0;6469
25/04/2005;86.69;31;2;C;2;0.567241379;0;0;0;0;7516
26/04/2005;37.00;19.9;1;B;1;0.663333333;0;0;0;0;1369
27/04/2005;8.94;124;1;A;1;0.696629213;0;0;0;0;80
28/04/2005;7.14;124;1;A;1;0.696629213;0;0;0;0;51
29/04/2005;90.85;36.9;2;C;1;0.651388889;0.373611111;0.243366127;0;0;8253
30/04/2005;45.06;43;2;B;2;0.665333333;0;0;0;0;2030
01/05/2005;29.97;32.9;1;A;1;0.557627119;0;0;0;0;898
02/05/2005;16.3;46.9;1;A;1;0.651388889;0;0;0;0;265
03/05/2005;6.24;124;1;A;1;0.696629213;0;0;0;0;39
04/05/2005;27.31;39.9;1;A;1;0.665;0;0;0;0;746
05/05/2005;21.47;69.9;1;A;1;0.466;0;0;0;0;461
06/05/2005;28.64;32.9;1;A;1;0.632692308;0;0;0;0;820
07/05/2005;10.54;125;1;A;1;0.702247191;0;0;0;0;111
08/05/2005;27.11;21.9;1;A;1;0.644117647;0;0;0;0;735
09/05/2005;35.93;15.9;1;B;1;0.548275862;0;0;0;0;1291
10/05/2005;53.08;17.9;1;B;1;0.639285714;0;0;0;0;2817
11/05/2005;95.24;41.9;2;C;1;0.656962025;0.403797468;0.265279603;0;0;9070
12/05/2005;108.29;36.9;1;D;1;0.46125;0;0;0;0;11726
13/05/2005;98.72;13.9;2;C;1;0.582758621;0.375862069;0.219036861;0;0;9745
14/05/2005;28.91;34.9;1;A;1;0.623214286;0;0;0;0;836
15/05/2005;46.48;73.45;2;B;1;0.671428571;0.377857143;0.253704082;0;0;2160
16/05/2005;95.09;26.9;1;C;1;0.498148148;0;0;0;0;9043
17/05/2005;97.73;36.4;2;C;1;0.6375;0.373611111;0.238177083;0;0;9552
18/05/2005;14.00;113;1;A;2;0.70625;0;0;0;0;196
19/05/2005;81.8;30.9;2;C;1;0.57;0.312857143;0.178328571;0;0;6692
20/05/2005;22.65;94.9;1;A;1;0.65;0;0;0;0;513
21/05/2005;77.53;44.9;1;C;1;0.547560976;0;0;0;0;6011
22/05/2005;132.51;29.9;2;D;1;0.647368421;0.401754386;0.260083102;0;0;17558
23/05/2005;120.83;29.9;1;D;1;0.46;0;0;0;0;14599
24/05/2005;46.23;79.9;1;B;1;0.654918033;0;0;0;0;2137
25/05/2005;81.49;35.9;1;C;1;0.498611111;0;0;0;0;6640
26/05/2005;71.08;15.9;1;C;1;0.567857143;0;0;0;0;5052
27/05/2005;51.35;39.9;1;B;1;0.49875;0;0;0;0;2637
28/05/2005;11.53;72;1;A;1;0.631578947;0;0;0;0;133
29/05/2005;21.61;29.9;1;A;1;0.636170213;0;0;0;0;467
30/05/2005;43.59;54.9;1;B;1;0.477391304;0;0;0;0;1900
31/05/2005;26.25;39.9;1;A;1;0.665;0;0;0;0;689
01/06/2005;22.38;85;1;A;1;0.5;0;0;0;0;501
02/06/2005;36.81;39.9;1;B;1;0.49875;0;0;0;0;1355
03/06/2005;120.97;29.9;2;D;1;0.636206897;0.394827586;0.251192033;0;0;14634
04/06/2005;21.40;79.9;1;A;1;0.551034483;0;0;0;0;458
05/06/2005;142.6;32.9;2;A;1;0.612857143;0.327142857;0.200491837;0;0;20348
06/06/2005;110.55;21.9;1;D;1;0.497727273;0;0;0;0;12221
07/06/2005;17.92;25.9;1;A;1;0.563043478;0;0;0;0;321
08/06/2005;49.22;31.9;1;B;1;0.455714286;0;0;0;0;2423
09/06/2005;79.90;29.34;3;C;1;0.643548387;0.401612903;0.258457336;0;0;6384
10/06/2005;64.09;16;2;B;2;0.582758621;0;0;0;0;4107
11/06/2005;17.61;41.9;1;A;1;0.698333333;0;0;0;0;310
12/06/2005;37.4;52.9;1;B;1;0.645121951;0;0;0;0;1398
13/06/2005;76.35;86.95;2;C;2;0.622857143;0.370857143;0.23099102;0;0;5829
14/06/2005;89.44;33;2;C;1;0.598571429;0.356428571;0.213347959;0;0;8000
15/06/2005;15.07;99;1;A;1;0.697183099;0;0;0;0;227
16/06/2005;35.59;42.9;1;B;1;0.55;0;0;0;0;1267
17/06/2005;6.00;110;1;A;1;0.696202532;0;0;0;0;36
18/06/2005;21.49;34.9;1;A;1;0.646296296;0;0;0;0;462
19/06/2005;36.4;45.9;1;B;1;0.612;0;0;0;0;1323
20/06/2005;86.33;32.9;2;C;1;0.546575342;0.354794521;0.193921937;0;0;7453
21/06/2005;101.98;26.4;2;D;1;0.5875;0.355357143;0.208772321;0;0;10399
22/06/2005;45.29;55.95;2;B;1;0.631578947;0.35;0.221052632;0;0;2051
23/06/2005;22.74;32.9;1;A;1;0.609259259;0;0;0;0;517
24/06/2005;33.94;95;1;B;1;0.5;0;0;0;0;1152
25/06/2005;96.91;36.9;2;C;1;0.651388889;0.373611111;0.243366127;0;0;9391
26/06/2005;108.69;39.95;1;D;1;0.487195122;0;0;0;0;11814
27/06/2005;36.99;37.9;1;B;1;0.653448276;0;0;0;0;1368
28/06/2005;51.89;14.95;1;B;1;0.498333333;0;0;0;0;2693
29/06/2005;26.29;74.9;1;A;1;0.651304348;0;0;0;0;691
30/06/2005;29.82;29.9;1;A;1;0.636170213;0;0;0;0;889
01/07/2005;12.29;99;1;A;1;0.634615385;0;0;0;0;151
02/07/2005;23.79;35.9;1;A;1;0.641071429;0;0;0;0;566
03/07/2005;20.10;119;1;A;1;0.626315789;0;0;0;0;404
04/07/2005;56.04;16.4;2;B;1;0.686206897;0.444827586;0.305243757;0;0;3141
05/07/2005;57.69;41.9;1;B;1;0.6546875;0;0;0;0;3328
06/07/2005;83.09;18.4;2;C;1;0.636111111;0.386111111;0.245609568;0;0;6904
07/07/2005;14.80;99.9;1;A;1;0.666;0;0;0;0;219
08/07/2005;5.48;110;1;A;1;0.696202532;0;0;0;0;30
09/07/2005;29.24;36.9;1;A;1;0.647368421;0;0;0;0;855
10/07/2005;16.76;82.9;1;A;1;0.552666667;0;0;0;0;281
11/07/2005;25.40;19.9;1;A;1;0.585294118;0;0;0;0;645
12/07/2005;94.04;25.9;1;C;1;0.47962963;0;0;0;0;8843
13/07/2005;29.33;39.9;1;A;1;0.643548387;0;0;0;0;860
14/07/2005;24.58;32.9;1;A;0;0.401219512;0.401219512;0;1;0;604
15/07/2005;13.15;99.9;1;A;1;0.657236842;0;0;0;0;173
16/07/2005;26.36;32.9;1;A;1;0.632692308;0;0;0;0;695
17/07/2005;30.45;41.9;1;A;1;0.6546875;0;0;0;0;927
18/07/2005;45.01;38.9;1;B;1;0.648333333;0;0;0;0;2026
19/07/2005;26.83;34.9;1;A;1;0.623214286;0;0;0;0;720
20/07/2005;74.22;66;2;C;1;0.592142857;0.351071429;0.207884439;0;0;5508
21/07/2005;33.36;46.9;1;B;1;0.651388889;0;0;0;0;1113
22/07/2005;20.37;44.9;1;A;1;0.660294118;0;0;0;0;415
23/07/2005;47.80;33.9;1;B;1;0.594736842;0;0;0;0;2285
24/07/2005;51.28;19.9;1;B;1;0.4975;0;0;0;0;2630
25/07/2005;71.82;16.9;1;C;1;0.497058824;0;0;0;0;5158
26/07/2005;36.46;89.9;1;B;1;0.62;0;0;0;0;1329
27/07/2005;171.27;36.4;2;A;1;0.575641026;0.357692308;0.205902367;0;0;29332
28/07/2005;109.63;29.9;1;D;1;0.498333333;0;0;0;0;12018
29/07/2005;28.60;18.9;1;A;1;0.651724138;0;0;0;0;818
30/07/2005;32.19;44.9;1;B;1;0.56125;0;0;0;0;1036
31/07/2005;186.5;33.4;2;B;1;0.543037975;0.302531646;0.164286172;0;0;34792
01/08/2005;60.07;35.4;2;B;1;0.587671233;0.382191781;0.224603115;0;0;3608
02/08/2005;10.05;119;1;A;1;0.668539326;0;0;0;0;101
03/08/2005;52.33;38.9;2;B;2;0.595833333;0;0;0;0;2738
04/08/2005;39.69;59.9;1;B;1;0.688505747;0;0;0;0;1575
05/08/2005;6.40;119;1;A;1;0.7;0;0;0;0;41
06/08/2005;63.77;78.45;2;B;2;0.673469388;0.393877551;0.265264473;0;0;4066
07/08/2005;115.68;29.9;1;D;1;0.515517241;0;0;0;0;13383
08/08/2005;26.04;44.9;1;A;1;0.56125;0;0;0;0;678
09/08/2005;34.16;45.9;1;B;1;0.6375;0;0;0;0;1167
10/08/2005;29.72;29.9;1;A;1;0.65;0;0;0;0;883
11/08/2005;161.25;51.4;2;A;1;0.546956522;0.346956522;0.189770132;0;0;26002
12/08/2005;110.57;13.95;1;D;1;0.498214286;0;0;0;0;12226
13/08/2005;69.56;16.9;1;B;1;0.625925926;0;0;0;0;4839
14/08/2005;4.90;125;1;A;1;0.702247191;0;0;0;0;24
15/08/2005;42.18;72.9;1;B;1;0.633913043;0;0;0;0;1779
16/08/2005;17.80;43.9;1;A;1;0.585333333;0;0;0;0;317
17/08/2005;27.00;34.9;1;A;1;0.646296296;0;0;0;0;729
18/08/2005;137.78;29.9;2;D;1;0.647368421;0.401754386;0.260083102;0;0;18982
19/08/2005;24.12;75.9;1;A;1;0.798947368;0;0;0;0;582
20/08/2005;27.91;36.9;1;A;1;0.505479452;0;0;0;0;779
21/08/2005;124.33;39.9;1;D;1;0.49875;0;0;0;0;15459
22/08/2005;15.87;39.9;1;A;1;0.665;0;0;0;0;252
23/08/2005;32.77;89.9;1;B;1;0.599333333;0;0;0;0;1074
24/08/2005;7.14;96;1;A;1;0.631578947;0;0;0;0;51
25/08/2005;115.29;43;2;D;2;0.665384615;0;0;0;0;13291
26/08/2005;19.29;51;1;A;1;0.5;0;0;0;0;372
27/08/2005;34.03;34.9;1;B;1;0.612280702;0;0;0;0;1158
28/08/2005;3.74;110;1;A;1;0.696202532;0;0;0;0;14
29/08/2005;17.5;39.9;1;A;1;0.57;0;0;0;0;308
30/08/2005;9.33;53.9;1;A;1;0.64939759;0;0;0;0;87
31/08/2005;39.52;17;3;B;3;0.686206897;0;0;0;0;1562
01/09/2005;14.35;119.9;1;A;1;0.788815789;0;0;0;0;206
02/09/2005;27.86;32.9;1;A;1;0.632692308;0;0;0;0;776
03/09/2005;14.70;63;1;A;1;0.617647059;0;0;0;0;216
04/09/2005;130.04;13.9;2;D;1;0.603571429;0.389285714;0.234961735;0;0;16910
05/09/2005;45.77;76.4;2;B;1;0.666;0.352666667;0.234876;0;0;2095
06/09/2005;30.8;89.9;2;A;1;0.673595506;0.336516854;0.22667624;0;0;951
07/09/2005;24.45;44.9;1;A;1;0.615068493;0;0;0;0;598
08/09/2005;77.4;12.4;2;C;1;0.532142857;0.353571429;0.18815051;0;0;5988
09/09/2005;15.52;49.9;1;A;1;0.665333333;0;0;0;0;241
10/09/2005;9.49;74;1;A;1;0.649122807;0;0;0;0;90
11/09/2005;51.00;14.95;1;B;1;0.453030303;0;0;0;0;2601
12/09/2005;33.87;48.9;1;B;1;0.652;0;0;0;0;1147
13/09/2005;168.14;36.9;1;A;1;0.45;0;0;0;0;28271
14/09/2005;28.30;51;1;A;1;0.5;0;0;0;0;801
15/09/2005;77.01;14.9;2;C;1;0.651724138;0.375862069;0.244958383;0;0;5930
16/09/2005;98.43;16.9;1;C;1;0.469444444;0;0;0;0;9688
17/09/2005;64.14;36;2;B;2;0.66;0;0;0;0;4114
18/09/2005;15.13;63;1;A;1;0.617647059;0;0;0;0;229
19/09/2005;117.81;12.9;1;D;1;0.477777778;0;0;0;0;13880
20/09/2005;52.75;65.9;2;B;1;0.532666667;0.346;0.184302667;0;0;2783
21/09/2005;34.4;85.9;1;B;1;0.592413793;0;0;0;0;1186
22/09/2005;97.40;29.9;1;C;1;0.524561404;0;0;0;0;9486
23/09/2005;20.1;45.9;1;A;1;0.603947368;0;0;0;0;406
24/09/2005;17.09;94.9;1;A;1;0.65;0;0;0;0;292
25/09/2005;24.35;36.9;1;A;1;0.647368421;0;0;0;0;593
26/09/2005;19.80;44.9;1;A;1;0.660294118;0;0;0;0;392
27/09/2005;41.42;62.9;1;B;1;0.546956522;0;0;0;0;1716
28/09/2005;6.63;124;1;A;1;0.696629213;0;0;0;0;44
29/09/2005;31.46;32.9;1;A;1;0.632692308;0;0;0;0;990
30/09/2005;28.02;29.9;1;A;1;0.636170213;0;0;0;0;785
01/10/2005;15.91;52.9;1;A;1;0.645121951;0;0;0;0;253
02/10/2005;105.70;29.9;2;D;1;0.636206897;0.394827586;0.251192033;0;0;11172
03/10/2005;98.16;35;2;C;2;0.567692308;0;0;0;0;9636
04/10/2005;40.19;36.9;1;B;1;0.647368421;0;0;0;0;1615
05/10/2005;38.20;62.9;1;B;1;0.546956522;0;0;0;0;1459
06/10/2005;143.09;12.9;1;A;1;0.477777778;0;0;0;0;20475
07/10/2005;12.37;79.9;1;A;1;0.547260274;0;0;0;0;153
08/10/2005;33.96;92.4;2;B;1;0.658791209;0.356593407;0.234920601;0;0;1153
09/10/2005;9.64;110;1;A;1;0.696202532;0;0;0;0;93
10/10/2005;102.15;29.4;2;D;1;0.608474576;0.388135593;0.236170641;0;0;10435
11/10/2005;87.45;16.9;1;C;1;0.469444444;0;0;0;0;7647
12/10/2005;21.35;25.9;1;A;1;0.563043478;0;0;0;0;456
13/10/2005;40.78;79;1;B;1;0.49375;0;0;0;0;1663
14/10/2005;37.18;75;1;B;1;0.510204082;0;0;0;0;1382
15/10/2005;11.62;49.9;1;A;1;0.594047619;0;0;0;0;135
16/10/2005;113.49;14.9;1;D;1;0.513793103;0;0;0;0;12879
17/10/2005;23.60;51.9;1;A;1;0.656962025;0;0;0;0;557
18/10/2005;12.73;21.9;1;A;1;0.644117647;0;0;0;0;162
19/10/2005;9.85;49;1;A;1;0.7;0;0;0;0;97
20/10/2005;49.32;19.9;1;B;1;0.585294118;0;0;0;0;2432
21/10/2005;62.94;25.9;1;B;1;0.588636364;0;0;0;0;3961
22/10/2005;162.48;15.9;1;A;1;0.454285714;0;0;0;0;26399
23/10/2005;26.10;77.9;1;A;1;0.649166667;0;0;0;0;681
24/10/2005;34.90;74.9;1;B;1;0.651304348;0;0;0;0;1218
25/10/2005;109.05;28.9;1;D;1;0.498275862;0;0;0;0;11891
26/10/2005;26.9;44.9;1;A;1;0.623611111;0;0;0;0;723
27/10/2005;34.50;69.9;1;B;1;0.735789474;0;0;0;0;1190
28/10/2005;39.64;37.5;1;B;1;0.5;0;0;0;0;1571
29/10/2005;28.0;42.9;1;A;1;0.595833333;0;0;0;0;783
30/10/2005;39.19;63.95;2;B;1;0.700854701;0.392307692;0.27495069;0;0;1536
31/10/2005;157.49;24.9;2;A;1;0.515517241;0.343103448;0.176875743;0;0;24803
01/11/2005;22.14;89;1;A;1;0.5;0;0;0;0;490
02/11/2005;11.40;114;1;A;1;0.686746988;0;0;0;0;130
03/11/2005;17.32;52.9;1;A;1;0.645121951;0;0;0;0;300
04/11/2005;38.39;96.95;2;B;1;0.696629213;0.392696629;0.273563944;0;0;1474
05/11/2005;14.56;37.9;1;A;1;0.642372881;0;0;0;0;212
06/11/2005;99.76;65.9;2;C;1;0.547260274;0.355479452;0.194539782;0;0;9952
07/11/2005;8.2;109.9;1;A;1;0.723026316;0;0;0;0;67
08/11/2005;98.30;29.4;2;C;1;0.552307692;0.352307692;0.194582249;0;0;9663
09/11/2005;24.6;34.9;1;A;1;0.623214286;0;0;0;0;606
10/11/2005;59.82;42.9;2;B;1;0.645121951;0.401219512;0.258835515;0;0;3578
11/11/2005;25.83;84.9;1;A;1;0.581506849;0;0;0;0;667
12/11/2005;37.05;69;1;B;1;0.492857143;0;0;0;0;1373
13/11/2005;43.24;39.9;1;B;1;0.665;0;0;0;0;1870
14/11/2005;32.20;25.9;1;B;1;0.563043478;0;0;0;0;1037
15/11/2005;85.7;27.9;1;C;1;0.498214286;0;0;0;0;7347
16/11/2005;21.07;29.9;1;A;1;0.636170213;0;0;0;0;444
17/11/2005;7.9;129.9;1;A;1;0.792073171;0;0;0;0;62
18/11/2005;76.54;33.9;2;C;1;0.644615385;0.398461538;0.256854438;0;0;5859
19/11/2005;31.22;34.9;1;A;1;0.646296296;0;0;0;0;975
21/11/2005;62.73;34.9;1;B;1;0.465333333;0;0;0;0;3935
22/11/2005;120.31;29.9;2;D;1;0.647368421;0.401754386;0.260083102;0;0;14474
23/11/2005;37.48;51.9;1;B;1;0.64875;0;0;0;0;1405
24/11/2005;12.88;39;1;A;1;0.65;0;0;0;0;166
25/11/2005;133.78;43;2;D;2;0.665384615;0;0;0;0;17896
26/11/2005;67.04;29.9;1;B;1;0.524561404;0;0;0;0;4494
27/11/2005;47.6;15;2;B;2;0.639285714;0;0;0;0;2265
28/11/2005;92.94;15.9;1;C;1;0.567857143;0;0;0;0;8637
29/11/2005;11.66;99;1;A;1;0.673469388;0;0;0;0;136
30/11/2005;101.27;13.95;1;D;1;0.498214286;0;0;0;0;10256
01/12/2005;79.37;54.9;2;C;1;0.607826087;0.346956522;0.210889225;0;0;6300
02/12/2005;27.44;44.9;1;A;1;0.56125;0;0;0;0;753
03/12/2005;27.69;42.9;1;A;1;0.55;0;0;0;0;767
04/12/2005;8.54;122;1;A;1;0.701149425;0;0;0;0;73
05/12/2005;75.33;31.9;1;C;1;0.490769231;0;0;0;0;5674
06/12/2005;49.56;41.9;1;B;1;0.698333333;0;0;0;0;2456
07/12/2005;44.16;36.9;1;B;1;0.636206897;0;0;0;0;1950
08/12/2005;25.73;77.9;1;A;1;0.649166667;0;0;0;0;662
09/12/2005;27.35;49.9;1;A;1;0.63164557;0;0;0;0;748
10/12/2005;27.73;94.9;1;A;1;0.65;0;0;0;0;769
11/12/2005;44.15;32.9;1;B;1;0.567241379;0;0;0;0;1949
12/12/2005;83.44;39.95;1;C;1;0.487195122;0;0;0;0;6962
13/12/2005;19.13;52.9;1;A;1;0.645121951;0;0;0;0;366
14/12/2005;12.17;99;1;A;1;0.651315789;0;0;0;0;148
15/12/2005;25.61;39.9;1;A;1;0.613846154;0;0;0;0;656
16/12/2005;18.22;19.9;1;A;1;0.663333333;0;0;0;0;332
17/12/2005;21.02;50.9;1;A;1;0.644303797;0;0;0;0;442
18/12/2005;29.78;22.9;1;A;1;0.654285714;0;0;0;0;887
19/12/2005;21.21;79.9;1;A;1;0.551034483;0;0;0;0;450
20/12/2005;61.61;70.56;2;B;1;0.642142857;0.365857143;0.234932551;0;0;3796
21/12/2005;23.5;21.9;1;A;1;0.486666667;0;0;0;0;553
22/12/2005;99.99;36.9;2;C;1;0.651388889;0.373611111;0.243366127;0;0;9999
23/12/2005;16.61;49.9;1;A;1;0.665333333;0;0;0;0;276
24/12/2005;49.32;41.4;2;B;1;0.644303797;0.403797468;0.260168242;0;0;2432
25/12/2005;31.89;34.9;1;B;1;0.646296296;0;0;0;0;1017
26/12/2005;15.33;44.9;1;A;1;0.615068493;0;0;0;0;235
